mahmut in tahminleri. Sıralama: ID, yaş, cinsiyet, zaman farkı(gün), tahmin (1:doğru 0:yanlış)
L000003,72,M,-325,1
L000003,72,M,616,0
L000003,72,M,690,0
L000003,72,M,-291,1
L000003,72,M,365,0
L000003,72,M,74,0
L000009,102,M,213,0
L000009,102,M,-271,-2
L000009,102,M,-58,1
L000011,92,F,-365,-2
L000014,18,M,89,1
L000019,37,M,31,-1
L000022,44,M,-96,0
L000022,44,M,-365,1
L000022,44,M,660,1
L000022,44,M,269,0
L000022,44,M,564,0
L000022,44,M,295,-1
L000025,38,F,-294,-2
L000025,38,F,-395,-3
L000025,38,F,-101,1
L000032,55,M,634,1
L000099,73,M,-3652,0
